Chinese Sentence,Chinese NER Tagged
非常谢谢，克里斯。的确非常荣幸 能有第二次站在这个台上的机会，我真是非常感激。,"[('克里斯', 'nr', 3, 4)]"
这个会议真是让我感到惊叹不已，我还要谢谢你们留下的 关于我上次演讲的精彩评论,[]
我是非常真诚的，部分原因是因为----我的确非常需要！ 你设身处地为我想想！,[]
我坐了8年的空军二号。,[]
不过现在上飞机前我则要脱掉我的鞋子,[]
我给你讲个小故事来形容我现在是什么样的,[]
这是个真实的故事--每一点都是如此。,[]
就在我和Tipper离开白宫稍后不久 -- -- 我们驱车从纳什维尔的家开到 我们在东边50里外的一个小农场--,"[('纳什维尔', 'ns', 13, 14)]"
自己开车,[]
我知道这对你们来说是小事一桩，但是 ---- 正当我看着后视镜的时候，突然感到非常惊奇。,[]
后面竟然没有车队。,[]
你们听过幻肢痛么？,[]
这辆福特Taurus是租来的，这时刚好是晚饭的时候 我们就开始找吃饭的地方,[]
我们在40号洲际公路上，要在238出口下到田纳西州的黎巴嫩市,"[('田纳西州', 'ns', 14, 15), ('黎巴嫩市', 'ns', 16, 17)]"
我们从出口下来，开始寻找一家--我们找到了Shoney餐馆。,[]
你们有些人也许不知道，这是家低成本的家庭连锁餐厅,[]
我们走进去后坐在小亭子里，女服务员也走了过来。 我跟Tipper引起了一阵骚动。 她写单后走到我们旁边亭子里的一对情侣边， 然后她的声音变得非常小以至于我要竖起耳朵才能听到她在说什么,[]
接着她说”是的，他们就是前副总统艾尔·戈尔和他的妻子Tipper。“,"[('艾尔·戈尔', 'nr', 10, 11)]"
那个男的接着说，“他已经非常努力了，不是吗？“,[]
已经算是有些显灵了。,[]
第二天，继续一个完全真实的故事。 我登上G-5就飞到非洲的尼尔利亚做演讲去了， 在首都拉各斯，主题则是关于能源。,"[('非洲', 'ns', 17, 18), ('尼尔利亚', 'ns', 19, 20), ('拉各斯', 'ns', 27, 28)]"
而演讲开始我则把前一天发生在纳什维尔州 的故事讲了一遍。,"[('纳什维尔州', 'ns', 11, 12)]"
就如同刚刚我给你们讲的故事一模一样。 我妻子和我自己开车，Shoney's餐馆，低成本家庭连锁餐厅 饭店那个男人的话--然后观众笑了,[]
演讲完后就开到飞机场飞回老家了,[]
接着我就在飞机上睡着了，直到三更半夜才醒来， 飞机在亚速尔群岛降落加油。,"[('亚速尔群岛', 'ns', 16, 18)]"
我醒了过来，走出飞机去呼吸点新鲜空气， 然后我看到有个人跑过飞机跑道,[]
他一边挥舞着一张纸，一边大喊， ”打电话给华盛顿！打电话给华盛顿！“,"[('华盛顿', 'ns', 14, 15), ('华盛顿', 'ns', 18, 19)]"
然后我自己在那思考，三更半夜在大西洋的中心 那么华盛顿能有什么出错呢？,"[('大西洋', 'ns', 9, 10), ('华盛顿', 'ns', 13, 14)]"
接下来我记起来原来还是有很多事情的。,[]
但是结果证明原来是我的员工的极度烦躁 因为尼尔利亚有一家通讯社已经把我的演讲写成一个故事 并且已经印出来在全美发行了,"[('尼尔利亚', 'ns', 12, 13)]"
"-- 我查过了是在蒙特利尔印刷的，而写的故事则是这样开头的， ”前副总统艾尔·戈尔前天在尼尔利亚声明， ‘我与我妻子Tipper开了一家低成本家庭连锁餐厅，名为Shoney's, 而且是有我们自己经营的。“ 在我回到美国本土前， 戴维莱特曼和杰伊莱诺已经开始在搞这些生意了 -- 他们中的一个人还让我戴了个很大的大厨帽呢，","[('蒙特利尔', 'ns', 7, 8), ('艾尔·戈尔', 'nr', 24, 25), ('尼尔利亚', 'ns', 27, 28), ('Tipper', 'nr', 35, 36), ('美国', 'ns', 63, 64), ('戴维莱特曼', 'nr', 67, 68), ('杰伊莱诺', 'nr', 69, 70)]"
"Tipper还说,""再来一个汉堡包加薯条！“",[]
三天后，我从我的朋友兼伙伴兼同事比尔克林顿哪里收到一封 手写，精美兼很长的一封信，内容是，”艾尔，祝新餐馆开张！”,"[('比尔克林顿', 'nr', 13, 14), ('艾尔', 'nr', 33, 34)]"
我们喜欢在对方成功的时候互相祝福,[]
我要谈一谈信息生态学。,[]
但是我又在想也许我可能计划把TED演讲当作我毕生的习惯， 那样的话也许我可以在其他的时候讲-指信息生态学（鼓掌） 克里斯 安德森： 一言为定！,"[('克里斯 安德森', 'nr', 36, 37)]"
我现在主要想谈一谈你们最关心的问题 对于气候危机你可以做什么呢？我想从这点开始谈-- 我要给你们展示一些新的照片，当然还有四五张也需要要重新展示,[]
现在看幻灯片，我每次都会更新这些幻灯片的。,[]
我每次更新的时候都会加新的图片进去，其中也许到了许多新的。,[]
就像那些在潮汐间隔的海滩中找宝物一般，,[]
你会找到更多的贝壳。,[]
刚刚在昨天，我们就得到了新的一月份的温度记录。,[]
这仅仅是美国的，一月份的历史平局记录是31度。 上个一月份是39.5度。,"[('美国', 'ns', 3, 4)]"
现在，我知道你想要更多的关于环境的坏新闻 --只是个玩笑-- 但这些只是重述幻灯片， 然后我将会谈论关于你能做什么的新内容。,[]
但我想先说明下这些东西。,[]
首先，这是我们估计到的关于美国对全球温室效应的贡献， 在普通情况下对于电力和能源的最终使用的效率 就像踮脚就能够着的果实，非常低的。 效率和对自然环境的保护：,"[('美国', 'ns', 9, 10)]"
不是成本，而是利润。 信号是错误的。,[]
不是负面效应，而是正面的。这些都是为自己支付的投资。,[]
但是它们在转移我们思想的时候也是非常有效的。,[]
汽车和火车--我在上次幻灯片的时候谈到过， 但是我希望你们能够先思考一下。,[]
这应该是我们所忧虑的目标里比较容易和显而易见的一个了， 但是相对于汽车和货车，对于全球温室效应的污染则更多 来自于建筑物。,[]
汽车和货车是非常明显的，因为我们的标准是全世界最低的。,[]
这样的话我们应该解决这个问题，但是这又是个伤脑筋的难题。,[]
其他交通工具的效率当然也应和汽车货车一样！,[]
可再生能源目前水平的技术效率 可以大大的改变现状， 而且还有维诺德和约翰·多尔等等 你们中的许多人直接参与其中 --这个楔形的成长要比我们目前所预计的要迅速的多。,"[('维诺德', 'nr', 16, 17), ('约翰·多尔', 'nr', 18, 19)]"
碳捕捉及封存技术--就是CCS代表的意思 --很有可能变成杀手级的应用 它将使我们能够继续安全的使用矿物燃料。,[]
不过技术上还不是非常的成熟。,[]
"OK,现在，你在家里可以做什么来减少排放呢？",[]
大多数这些支出也是有利可图的。,[]
尽可能的购买绝缘，更优设计和绿色电力的产品。,[]
如同我提到的汽车--购买混合动力或者坐轻轨。,[]
想出一些其他更好的替代方案，这是非常重要的。,[]
成为一个环保消费者，对于你买的所有东西都要选择， 比较哪个产品对于全球气候危机的影响大,[]
还是小 考虑这点，下决心去拥有一个碳中性的生活。,[]
对于你们中那些熟悉品牌运作的人， 我希望可以从你们那里得到建议和帮助 关于如何让人知道这是关乎大多数人的利益。,[]
这比你想象的要容易些，真的。,[]
你们中的许多人已经做出了合适的决定，这真的是相当容易。,[]
在做各种选择前尽量选那些可以减少二氧化碳排放量的， 而且还要对那些没做到的决定作出合适的补偿 具体什么意思可以看 climatecrisis.net 网站上的说明。,[]
哪里有个碳排量计算器。可以计算你的碳排放量。 由于我积极的参与其中，全球最棒的软件设计师 根据碳排放的计算公式设计出这个 非常友好的碳排放计算器.,[]
你可以非常精确的计算出你的碳排放量. 然后还会给出如何减少碳排放的建议.,[]
"等五月份电影出来的时候,这个版本也会升级到2.0. 更新中包括能够购买碳排放抵消的功能",[]
接下来，关于如何使你的商业碳中和化，当然，我们中的许多人已经做到了。 其实这不是你想的那么难，只要把气候危机解决方案融入到所有的革新当中。 不管你是处于科技领域或娱乐事业， 或设计行业和社区建筑。,[]
持续的投资，姆吉拉提及过这个。,"[('姆吉拉', 'nr', 4, 5)]"
听着，如果你必须要和一个他的报酬是基于 年度绩效的经理人的话。 别再抱怨季度报告里关于首席执行官的管理,[]
久而久之，人们会做你付钱让他们去做的事，而且如果他们断定,[]
基于他们投资的多少而获得多少的话。 根据短期回报率，你必须做出短期决策。,[]
关于这个有太多需要说了。,[]
成为一个促进改变的人，教导其他人，学习它，讨论它。,[]
关于电影发行--其实电影只是这个幻灯片我2天前演讲的的电影版本 除了电影比较更具娱乐性，电影在五月份发行。,[]
你们中的许多人有机会可以让更多的人去看这个电影。,[]
考虑送一些人去纳什维尔看。,"[('纳什维尔', 'ns', 5, 6)]"
然后我个人也会训练一些人去做这个演讲，重新利用. 其中的一些明显的个人故事只好用一般方法代替了。 当然不只只是这些幻灯片，而是它们蕴含的意思以及如何使他们联系起来。,[]
这样的话我就会在今年夏天带一个课程 给那帮获得提名的人们上一课。 全体的，在全国各地的社区， 每个星期我们也会为他们更新这些幻灯片 来保证资料都处在最前沿。,[]
和拉里·莱斯格一起工作，那会是，在过程中的某个阶段。 用工具和限量使用版权来张贴， 那样的话年轻人就可以用他们自己的方法重新制作。,"[('拉里·莱斯格', 'nr', 1, 2)]"
人们都是从哪里得知应该跟政治保持距离呢？,[]
这无关你是否是共和党人然后我要说服你变成一个民主党人士。,[]
我们也需要共和党人。这是个两党连立的问题， 据我所知这在我们这个团体里面的确是如此的。变成政治活跃人士。,[]
使我们的民主照着原本应该的方式来运作。,[]
支持关于二氧化碳排放和全球温室效应污染的理念，,[]
并且补偿这一切，这是因为，由于美国在这个世界体系之外， 但是这又不是个封闭的体系。,"[('美国', 'ns', 10, 11)]"
但是一旦它变成了封闭的体系，不管美国是否参与， 那样的话每个人都成为董事会成员了 --这里有多少人是公司里面的董事会成员呢？,"[('美国', 'ns', 10, 11)]"
一旦它成为一个封闭的体系，你将背负法律上的责任如果你不督促你的CEO 从减少和补偿可以避免的碳排放方面获得最大的收入。,[]
如果我们能够实现它的话那么市场先生将会自己去解决这个问题。,[]
从今年春天开始的大众劝说运动的帮助。,[]
我们必须去改变美国人民的观念。,"[('美国', 'ns', 4, 5)]"
因为现在的政治不允许去做一些需要做的事。,[]
在一个现代化国家，逻辑和理性的作用已不再只包括 以前所做的关于财富和权力的调解。,[]
现在已经是短的，热门的，30秒，28秒的电视广告的重复播放。,[]
我们必须要买许多这样的广告。,[]
让我们把全球变暖这个品牌重新包装一下，就如许多人建议的那样。,[]
